,dataset,split,task_id,model,code,result,compiled,passed_tests,avg_test_time,loc,lloc,sloc,comments,multi,blank,single_comments,CC,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,MI
0,openai_humaneval,test,0,llama3_0_shot_finetuned_4_epoch,"from typing import List

def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
    for elem in numbers:
        for elem2 in numbers:
            if elem!= elem2:
                distance = abs(elem - elem2)
                if distance < threshold:
                    return True

    return False",failed: ,True,False,,18.0,10.0,9.0,0.0,7.0,2.0,0.0,5.0,3.0,4.0,3.0,6.0,7.0,9.0,12.75488750216347,25.26619429851844,2.25,56.848937171666485,3.158274287314805,0.008422064766172813,95.9752910566147
1,openai_humaneval,test,1,llama3_0_shot_finetuned_4_epoch,"from typing import List

def separate_paren_groups(paren_string: str) -> List[str]:
    result = []
    current_string = []
    current_depth = 0

    for c in paren_string:
        if c =='':
            continue
        if c == '(':
            current_depth += 1
            current_string.append(c)
        elif c == ')':
            current_depth -= 1
            current_string.append(c)

            if current_depth == 0:
                result.append(''.join(current_string))
                current_string.clear()

    return result",passed,True,True,9.183913333572491e-05,22.0,18.0,18.0,0.0,0.0,4.0,0.0,6.0,3.0,7.0,6.0,12.0,10.0,18.0,24.406371956566698,59.794705707972525,2.5714285714285716,153.75781467764364,8.542100815424646,0.019931568569324175,59.37029735596963
2,openai_humaneval,test,2,llama3_0_shot_finetuned_4_epoch,"def truncate_number(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    >>> truncate_number(3.5)
    0.5
    """"""
    return round(number - int(number), 10)",passed,True,True,6.5985099999466e-05,10.0,3.0,2.0,0.0,7.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,65.11035329571214
3,openai_humaneval,test,3,llama3_0_shot_finetuned_4_epoch,"from typing import List

def below_zero(operations: List[int]) -> bool:
    balance = 0

    for op in operations:
        balance += op
        if balance < 0:
            return True

    return False",passed,True,True,0.00012573763333421085,11.0,8.0,8.0,0.0,0.0,3.0,0.0,3.0,2.0,3.0,2.0,4.0,5.0,6.0,6.754887502163469,13.931568569324174,1.3333333333333333,18.575424759098897,1.0319680421721609,0.004643856189774725,71.88621556846499
4,openai_humaneval,test,4,llama3_0_shot_finetuned_4_epoch,"from typing import List

def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" For a given list of input numbers, calculate Mean Absolute Deviation
    around the mean of this dataset.
    Mean Absolute Deviation is the average absolute difference between each
    element and a centerpoint (mean in this case):
    MAD = average | x - x_mean |
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""
    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)",passed,True,True,9.460656666533395e-05,13.0,5.0,4.0,0.0,8.0,1.0,0.0,2.0,2.0,6.0,3.0,6.0,8.0,9.0,17.509775004326936,27.0,1.0,27.0,1.5,0.009,80.59177475763835
5,openai_humaneval,test,5,llama3_0_shot_finetuned_4_epoch,"from typing import List

def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    if not numbers:
        return []

    result = [numbers[0]]
    for n in numbers[1:]:
        result.append(delimeter)
        result.append(n)
    return result",passed,True,True,8.470893333338836e-05,11.0,9.0,9.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,0.5,1.0,0.05555555555555555,0.0006666666666666666,76.67286345511201
6,openai_humaneval,test,6,llama3_0_shot_finetuned_4_epoch,"from typing import List

def parse_nested_parens(paren_string: str) -> List[int]:
    def parse_paren_group(s):
        depth = 0
        max_depth = 0
        for c in s:
            if c == '(':
                depth += 1
                max_depth = max(depth, max_depth)
            else:
                depth -= 1
        return max_depth

    return [parse_paren_group(x) for x in paren_string.split() if x]",passed,True,True,8.001216666950009e-05,15.0,13.0,13.0,0.0,0.0,2.0,0.0,3.0,3.0,4.0,3.0,6.0,7.0,9.0,12.75488750216347,25.26619429851844,2.25,56.848937171666485,3.158274287314805,0.008422064766172813,65.47636865786144
7,openai_humaneval,test,7,llama3_0_shot_finetuned_4_epoch,"from typing import List

def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
    return list(filter(lambda s: substring in s, strings))",passed,True,True,0.00011164976666672525,10.0,5.0,3.0,0.0,6.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,4.754887502163469,0.5,2.3774437510817346,0.1320802083934297,0.0015849625007211565,86.0073606708061
8,openai_humaneval,test,8,llama3_0_shot_finetuned_4_epoch,"from typing import List, Tuple

def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""
    sum_value = 0
    prod_value = 1
    for n in numbers:
        sum_value += n
        prod_value *= n
    return sum_value if sum_value else 0, prod_value if prod_value else 1",failed: ,True,False,,16.0,9.0,8.0,0.0,7.0,1.0,0.0,4.0,2.0,3.0,2.0,4.0,5.0,6.0,6.754887502163469,13.931568569324174,1.3333333333333333,18.575424759098897,1.0319680421721609,0.004643856189774725,97.9237200750246
9,openai_humaneval,test,9,llama3_0_shot_finetuned_4_epoch,"from typing import List

def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
    running_max = numbers[0]
    result = [running_max]
    for n in numbers[1:]:
        running_max = max(running_max, n)
        result.append(running_max)
    return result",failed: list index out of range,True,False,,14.0,9.0,8.0,0.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
